,products name
0,MarQ By Flipkart 468 L Frost Free Side by Side Refriger...
1,HAVELLS Wind Storm 500 mm 3 Blade Pedestal Fan
2,CARRIER 1 Ton 3 Star Split Air Filtration with High Den...
3,Sure from Aquaguard Desire NXT 6 L UV + UF Water Purifi...
4,Al-Faiz Mini Sewing Machine Motor with Accelerator(100%...
5,SAMSUNG 7.5 kg Wobble Technology with Diamond Drum Full...
6,SAMSUNG 345 L Frost Free Double Door 3 Star Convertible...
7,KENT Ace Extra/ Ace Alkaline 8 L RO + UV + UF + TDS Con...
8,Whirlpool 4 in 1 Convertible Cooling 1.5 Ton 3 Star Spl...
9,Flipkart SmartBuy FKSBFAN1200CB 1200 mm Silent Operatio...
10,LG 6 kg With Smart Diagnosis Fully Automatic Front Load...
11,EUREKA FORBES Sure Active Clean Hand-held Vacuum Cleane...
12,Whirlpool 265 L Frost Free Double Door 2 Star Refrigera...
13,Godrej 185 L Direct Cool Single Door 2 Star Refrigerato...
14,BROFY Portable Rechargeable Fan for Mini Desk Car USB C...
15,Aquaguard Glory 6 L UV + UF Water Purifier With Active ...
16,HAVELLS Reo Tejas 1200 mm Energy Saving 3 Blade Ceiling...
17,LUMINOUS Eco Volt Neo 1050 Pure Sine Wave Inverter
18,BROFY Rechargeable Table Fan With Led Light portable fa...
19,Eureka Forbes bold wet and dry vacuum cleaner
20,"Sansui 6.5 kg Semi Automatic Top Load White, Maroon"
21,Mi Netflx and Prime Video Button LCD LED Smart TV Remot...
22,Syska Power Wheel 3  Socket Extension Boards
23,Blue Star Aristo RO+UV 7 L RO + UV Water Purifier with ...
24,KENT Ace Lite 8 L RO + UF + TDS Water Purifier with Min...
25,Haier 258 L Frost Free Double Door 3 Star Convertible R...
26,MAX Maxx Power Saver Power Saver
27,Eureka Forbes Aquasure from Aquaguard Shield 6 L RO + U...
28,Flipkart SmartBuy Smart Extension Board 4 Sockets 4 Swi...
29,KENT Ace Copper 8 L RO + UV + UF + TDS Control + UV in ...
30,Sansui 35 L Room/Personal Air Cooler
31,Pureit Max Water Saver 10 L RO + UV + MF Water Purifier...
32,USHA E1 2802 1000-Watt 1000 W Dry Iron
33,Singer E-Clean Dry Vacuum Cleaner
34,Voltas 1.5 Ton 3 Star Split Inverter AC  - White
35,Pureit by HUL Advanced Max 6 L Mineral RO + UV + MF + M...
36,Eureka Forbes Aquaguard Vista (UV+) Water Purifier with...
37,LG Super Convertible 6-in-1 Cooling 1 Ton 5 Star Split ...
38,Atomberg Efficio 1200 mm BLDC Motor with Remote 3 Blade...
39,LIVPURE Envy Alkaline DX 8 L RO + UV + UF + TDS + Alkal...
